site,veg,roi,lat,lon,water_frac,urban_frac,total_flags,flags_2023,flags_2024,flagged_in,phenocam_site,gvf_vs_ndvi_div_2023,gcc_vs_ndvi_div_2023,gvf_vs_gcc_div_2023,gvf_sos_2023,gvf_mos_2023,gvf_dos_2023,gvf_eos_2023,gcc_sos_2023,gcc_mos_2023,gcc_dos_2023,gcc_eos_2023,ndvi_sos_2023,ndvi_mos_2023,ndvi_dos_2023,ndvi_eos_2023,gvf_vs_ndvi_div_2024,gcc_vs_ndvi_div_2024,gvf_vs_gcc_div_2024,gvf_sos_2024,gvf_mos_2024,gvf_dos_2024,gvf_eos_2024,gcc_sos_2024,gcc_mos_2024,gcc_dos_2024,gcc_eos_2024,ndvi_sos_2024,ndvi_mos_2024,ndvi_dos_2024,ndvi_eos_2024
jershrubland,SH,jershrubland_SH_1000,32.6502,-106.8334,0.0,0.0,1,1,0,2024:{} 2023:{GCC:DOS(-42)},jershrubland,0.8332420875186928,2.858646790982851,2.635146528806259,51.0,157.0,189.0,361.0,108.0,125.0,231.0,347.0,56.0,168.0,173.0,350.0,,,,,,,,,,,,,,,
luckyhills,SH,luckyhills_SH_4000,31.743896,-110.052023,0.0,0.0137,1,0,1,2024:{NDVI:DOS(+169)} 2023:{},luckyhills,,,,,,,,,,,,,,,,7.502406201462814,6.619590555178826,0.9258277428529654,13.0,246.0,246.0,300.0,2.0,233.0,240.0,318.0,2.0,77.0,77.0,365.0
sevmettswl,SH,sevmettswl_SH_1000,34.3104,-106.6844,0.0,0.0,1,0,1,2024:{NDVI:SOS(-48)} 2023:{},sevmettswl,,,,,,,,,,,,,,,,3.705579706742867,3.1107457229076143,1.3001811946789272,136.0,227.0,239.0,288.0,173.0,213.0,255.0,286.0,184.0,194.0,197.0,365.0
sevmvecreo1redinc,SH,sevmvecreo1redinc_SH_1000,34.3382,-106.7392,0.0,0.0,1,1,0,2024:{} 2023:{GCC:SOS(-177)},sevmvecreo1redinc,3.5932219621559907,3.3952541679583192,4.773666473612014,41.0,266.0,271.0,305.0,218.0,227.0,236.0,318.0,166.0,275.0,275.0,365.0,,,,85.0,221.0,230.0,271.0,2.0,221.0,221.0,365.0,2.0,293.0,301.0,361.0
sevmvecreo21redinc,SH,sevmvecreo21redinc_SH_1000,34.3386,-106.739,0.0,0.0,1,1,0,2024:{} 2023:{GCC:SOS(-178)},sevmvecreo21redinc,4.321405737316281,1.8703673394759703,4.5089112994552805,41.0,266.0,271.0,305.0,219.0,230.0,252.0,321.0,199.0,253.0,263.0,363.0,,,,,,,,,,,,,,,
sevmvecreo23ambinc,SH,sevmvecreo23ambinc_SH_1000,34.3386,-106.739,0.0,0.0,1,1,0,2024:{} 2023:{GCC:SOS(-177)},sevmvecreo23ambinc,3.688881168945126,2.0028519707248393,4.409789922221224,41.0,266.0,271.0,305.0,218.0,230.0,257.0,322.0,152.0,239.0,239.0,338.0,,,,,,,,,,,,,,,
sevmvecreo24ambamb,SH,sevmvecreo24ambamb_SH_1000,34.3386,-106.739,0.0,0.0,1,1,0,2024:{} 2023:{GCC:SOS(-176)},sevmvecreo24ambamb,3.99605393438485,2.1938111878170927,4.189344384296014,41.0,266.0,271.0,305.0,217.0,234.0,254.0,311.0,152.0,233.0,233.0,343.0,,,,,,,,,,,,,,,
sevmvecreo2redinc,SH,sevmvecreo2redinc_SH_1000,34.3382,-106.7391,0.0,0.0,1,1,0,2024:{} 2023:{NDVI:DOS(+83)},sevmvecreo2redinc,6.0176643274477355,3.0142325901397355,3.1404308954890054,41.0,266.0,271.0,305.0,152.0,236.0,249.0,313.0,154.0,188.0,188.0,365.0,,,,,,,,,,,,,,,
sevmvecreo3redamb,SH,sevmvecreo3redamb_SH_1000,34.3382,-106.7389,0.0,0.0,1,1,0,2024:{} 2023:{GCC:SOS(-178)},sevmvecreo3redamb,3.3940517784603332,2.693650316054812,4.651298995008609,41.0,266.0,271.0,305.0,219.0,230.0,245.0,321.0,163.0,263.0,263.0,359.0,,,,85.0,221.0,230.0,271.0,7.0,215.0,215.0,343.0,2.0,215.0,215.0,365.0
sevmvecreo4ambinc,SH,sevmvecreo4ambinc_SH_1000,34.3384,-106.7392,0.0,0.0,1,1,0,2024:{} 2023:{GCC:SOS(-178)},sevmvecreo4ambinc,4.241320926389531,2.124081876126731,4.69194067210409,41.0,266.0,271.0,305.0,219.0,227.0,242.0,318.0,155.0,233.0,233.0,354.0,,,,85.0,221.0,230.0,271.0,173.0,197.0,215.0,365.0,2.0,215.0,215.0,365.0
sevmvecreo8ambinc,SH,sevmvecreo8ambinc_SH_1000,34.3381,-106.7387,0.0,0.0,1,1,0,2024:{} 2023:{GCC:SOS(-178)},sevmvecreo8ambinc,3.2493325355645455,2.5188093841348516,5.14318733509182,41.0,266.0,271.0,305.0,219.0,225.0,236.0,334.0,152.0,257.0,257.0,350.0,,,,,,,,,,,,,,,
ABBY,UN,NEON.D16.ABBY.DP1.00042_UN_1000,45.76243,-122.33033,0.0,0.0006,4,4,0,"2024:{} 2023:{NDVI:MOS(-41), NDVI:DOS(-116), NDVI:EOS(-46), GCC:SOS(-79)}",NEON.D16.ABBY.DP1.00042,2.745354181789384,3.244983989807684,3.142034481502564,20.0,183.0,183.0,319.0,99.0,166.0,228.0,351.0,2.0,224.0,224.0,365.0,,,,,,,,,,,,,,,
TALL,UN,NEON.D08.TALL.DP1.00042_UN_1000,32.95047,-87.393259,0.0002,0.0001,4,3,1,"2024:{GCC:DOS(-135)} 2023:{NDVI:DOS(+48), GCC:SOS(+2), GCC:MOS(-71)}",NEON.D08.TALL.DP1.00042,1.573696422221262,0.4737446772492232,1.4233620296206546,76.0,145.0,212.0,337.0,74.0,111.0,181.0,329.0,74.0,115.0,164.0,332.0,3.9370037227979746,1.5724578475359898,5.1077669736887765,77.0,139.0,143.0,366.0,11.0,218.0,278.0,362.0,2.0,197.0,226.0,365.0
BONA,UN,NEON.D19.BONA.DP1.00042_UN_1000,65.15401,-147.50258,0.0002,0.0,1,0,1,2024:{NDVI:MOS(+39)} 2023:{},NEON.D19.BONA.DP1.00042,,,,111.0,197.0,219.0,278.0,140.0,184.0,233.0,260.0,110.0,168.0,245.0,293.0,2.0815937597502105,2.0097554158167013,1.019680601957464,105.0,175.0,185.0,281.0,120.0,175.0,214.0,270.0,102.0,136.0,242.0,296.0
GRSM,UN,NEON.D07.GRSM.DP1.00042_UN_1000,35.68896,-83.50195,0.0,0.0106,1,0,1,2024:{GCC:DOS(+61)} 2023:{},NEON.D07.GRSM.DP1.00042,,,,,,,,,,,,,,,,0.6730777354747464,1.1409067307482983,1.7042388715476184,94.0,136.0,260.0,324.0,97.0,114.0,199.0,316.0,96.0,129.0,235.0,325.0
MLBS,UN,NEON.D07.MLBS.DP1.00042_UN_1000,37.378314,-80.524847,0.0024,0.0002,1,0,1,2024:{NDVI:EOS(+46)} 2023:{},NEON.D07.MLBS.DP1.00042,,,,109.0,176.0,217.0,346.0,124.0,140.0,230.0,294.0,112.0,159.0,247.0,308.0,2.18272476439289,0.8558846172547849,2.972868605888086,100.0,175.0,197.0,358.0,120.0,139.0,227.0,280.0,117.0,148.0,226.0,312.0
montebondonepeat,WL,montebondonepeat_WL_1000,46.0177,11.0409,0.0,0.0036,3,2,1,"2024:{GCC:EOS(+115)} 2023:{NDVI:SOS(-42), GCC:SOS(-72)}",montebondonepeat,1.9183429529306817,1.778835280893309,3.682601343341072,70.0,186.0,233.0,345.0,142.0,173.0,204.0,259.0,112.0,179.0,211.0,310.0,2.3198502536056433,1.9387058307217353,3.70895314514852,82.0,183.0,194.0,366.0,146.0,165.0,197.0,251.0,120.0,175.0,212.0,302.0
KING,WL,NEON.D06.KING.DP1.20002_WL_2000,39.10506,-96.60336,0.0003,0.0089,1,1,0,2024:{} 2023:{GCC:SOS(-1)},NEON.D06.KING.DP1.20002,0.8795950578959635,1.1905843271364058,1.2198221461002403,99.0,168.0,204.0,332.0,100.0,131.0,186.0,343.0,98.0,143.0,225.0,331.0,,,,86.0,152.0,198.0,337.0,95.0,119.0,238.0,318.0,39.0,152.0,252.0,316.0
laclaflamme,WL,laclaflamme_WL_1000,47.322678,-71.121453,0.0134,0.0011,1,1,0,2024:{} 2023:{NDVI:MOS(-29)},laclaflamme,2.184041485609611,2.3092827829614175,2.53664847285202,102.0,182.0,207.0,365.0,127.0,190.0,226.0,279.0,93.0,211.0,250.0,328.0,,,,,,,,,,,,,,,
